Source,RPM,P-Av (PS),Torque (N·m)
CN 1600 → CN 1600 Ver_1.1,3400,71.82,148.33
CN 1600 → CN 1600 Ver_1.1,3600,75.60,147.46
CN 1600 → CN 1600 Ver_1.1,3800,72.68,134.30
CN 1600 → CN 1600 Ver_1.1,4000,78.49,137.77
CN 1600 → CN 1600 Ver_1.1,4200,90.25,150.88
CN 1600 → CN 1600 Ver_1.1,4400,100.42,160.26
CN 1600 → CN 1600 Ver_1.1,4600,112.38,171.54
CN 1600 → CN 1600 Ver_1.1,4800,123.03,179.96
CN 1600 → CN 1600 Ver_1.1,5000,131.66,184.90
CN 1600 → CN 1600 Ver_1.1,5200,138.11,186.48
CN 1600 → CN 1600 Ver_1.1,5400,142.88,185.79
CN 1600 → CN 1600 Ver_1.1,5600,151.04,189.38
CN 1600 → CN 1600 Ver_1.1,5800,160.53,194.34
CN 1600 → CN 1600 Ver_1.1,6000,169.14,197.94
CN 1600 → CN 1600 Ver_1.1,6200,176.26,199.60
CN 1600 → CN 1600 Ver_1.1,6400,180.98,198.55
CN 1600 → CN 1600 Ver_1.1,6600,184.57,196.35
CN 1600 → CN 1600 Ver_1.1,6800,188.99,195.14
CN 1600 → CN 1600 Ver_1.1,7000,194.59,195.18
CN 1600 → CN 1600 Ver_1.1,7200,200.72,195.74
CN 1600 → CN 1600 Ver_1.1,7400,206.27,195.73
CN 1600 → CN 1600 Ver_1.1,7600,209.60,193.65
CN 1600 → CN 1600 Ver_1.1,7800,211.14,190.06
CN 1600 → CN 1600 Ver_1.1,8000,211.37,185.52
CN 1600 → CN 1600 Ver_1.1,8200,210.39,180.15
CN 1600 → CN 1600 Ver_1.1,8400,207.81,173.71
